# warthog xy Energy graph 
# this file is formatted as follows: [header data] [node data] [edge data] 
# header format: nodes [number of nodes] edges [number of edges]  
# node data format: v [id] [x] [y] [elevation] 
# edge data format: e [from_node_id] [to_node_id] [length] [1000 - height_gain] [popularity] [street_width] [100*random] 
# 
# 32bit integer values are used throughout. 
# Identifiers are all zero indexed. 
# 
nodes 16516 edges 33111 objectives 2 
v 11181 2161559 48729062 155 
v 11182 2161173 48729124 155 
v 11183 2161179 48728659 155 
v 11184 2161419 48728909 155 
v 11185 2162053 48729541 156 
v 11186 2161094 48728957 155 
v 11187 2258388 48714159 80 
v 11188 2258280 48714224 81 
v 11189 2258342 48714233 81 
v 11190 2258309 48714137 80 
v 11191 2269789 48700104 48 
v 11192 2269938 48699984 47 
v 11193 2277389 48726353 76 
v 11194 2277075 48726360 75 
v 11195 2271349 48730522 69 
v 11196 2271354 48730674 69 
v 11197 2285171 48791090 113 
v 11198 2148073 48772202 113 
v 11199 2235423 48778774 171 
v 11200 2236793 48779565 173 
v 11201 2114163 48747981 157 
v 11202 2110754 48770650 160 
v 11203 2232031 48780388 171 
v 11204 2230654 48780177 172 
v 11205 2277913 48769393 100 
v 11206 2280880 48768277 96 
v 11207 2280077 48769198 96 
v 11208 2281420 48768874 96 
v 11209 2190818 48710179 151 
v 11210 2216062 48751462 76 
v 11211 2161823 48711874 157 
v 11212 2207889 48758214 129 
v 11213 2211292 48756730 100 
v 11214 2198324 48715333 155 
v 11215 2196324 48714963 155 
v 11216 2196358 48715098 155 
v 11217 2178712 48696557 81 
v 11218 2226526 48741850 79 
v 11219 2204740 48780265 173 
v 11220 2203753 48780574 176 
v 11221 2205614 48781392 173 
v 11222 2180603 48707075 151 
v 11223 2125942 48727779 154 
v 11224 2232478 48731945 81 
v 11225 2230473 48733916 76 
v 11226 2231557 48732074 79 
v 11227 2230878 48733056 78 
v 11228 2229687 48734376 77 
v 11229 2232572 48732612 77 
v 11230 2229738 48734672 75 
v 11231 2231431 48715593 155 
v 11232 2219949 48710855 155 
v 11233 2218021 48712640 156 
v 11234 2219835 48711306 157 
v 11235 2220497 48710989 155 
v 11236 2219897 48711481 157 
v 11237 2208657 48711720 157 
v 11238 2217597 48711218 158 
v 11239 2219690 48710775 156 
v 11240 2219452 48711666 157 
v 11241 2220144 48710936 155 
v 11242 2219831 48711114 156 
v 11243 2220435 48710661 156 
v 11244 2221337 48713835 158 
v 11245 2220950 48713762 158 
v 11246 2263195 48798254 116 
v 11247 2219958 48710283 155 
v 11248 2158437 48726866 157 
v 11249 2158730 48727087 157 
v 11250 2158351 48726801 157 
v 11251 2158581 48726797 157 
v 11252 2122177 48718251 89 
v 11253 2122357 48718235 92 
v 11254 2122509 48718330 93 
v 11255 2122221 48718195 90 
v 11256 2122407 48718261 92 
v 11257 2150876 48718349 155 
v 11258 2150741 48718411 155 
v 11259 2244536 48720862 111 
v 11260 2246198 48726037 90 
v 11261 2246352 48726073 90 
v 11262 2246261 48726218 90 
v 11263 2193354 48715533 155 
v 11264 2228496 48731403 88 
v 11265 2230038 48731689 83 
v 11266 2137758 48699291 65 
v 11267 2137372 48699330 65 
v 11268 2262727 48733970 72 
v 11269 2262951 48734223 70 
v 11270 2264991 48720201 93 
v 11271 2265193 48720019 93 
v 11272 2210759 48762404 171 
v 11273 2267585 48727159 76 
v 11274 2191666 48699994 57 
v 11275 2191514 48699871 59 
v 11276 2118423 48788938 179 
v 11277 2228836 48766965 121 
v 11278 2238375 48718392 145 
v 11279 2267511 48746500 86 
v 11280 2167468 48771159 164 
v 11281 2166670 48771869 167 
v 11282 2166852 48771693 166 
v 11283 2166966 48771814 167 
v 11284 2218823 48749895 74 
v 11285 2211932 48750281 90 
v 11286 2171140 48735040 148 
v 11287 2249714 48714669 71 
v 11288 2186286 48695382 93 
v 11289 2153583 48698170 61 
v 11290 2167534 48775392 172 
v 11291 2167554 48775546 171 
v 11292 2167215 48775412 172 
v 11293 2168700 48778880 171 
v 11294 2167815 48779060 175 
v 11295 2169152 48780302 174 
v 11296 2168883 48780076 174 
v 11297 2168392 48779725 175 
v 11298 2169817 48780546 175 
v 11299 2169733 48780014 171 
v 11300 2175025 48729500 153 
v 11301 2174451 48729492 153 
v 11302 2188107 48804422 103 
v 11303 2270469 48774444 101 
v 11304 2238768 48702418 52 
v 11305 2239564 48702888 52 
v 11306 2238934 48702239 51 
v 11307 2250121 48710142 52 
v 11308 2121909 48784285 176 
v 11309 2122108 48784192 176 
v 11310 2120779 48783282 172 
v 11311 2120271 48782832 170 
v 11312 2118557 48781291 163 
v 11313 2118735 48781200 163 
v 11314 2119194 48781385 164 
v 11315 2118166 48781368 164 
v 11316 2117976 48781191 163 
v 11317 2215025 48754831 94 
v 11318 2266379 48726625 79 
v 11319 2255346 48729268 94 
v 11320 2257027 48726755 85 
v 11321 2281717 48694188 47 
v 11322 2281722 48693907 47 
v 11323 2256112 48767325 158 
v 11324 2256300 48767202 159 
v 11325 2244000 48784515 168 
v 11326 2248413 48782548 168 
v 11327 2248544 48782688 168 
v 11328 2248605 48782600 168 
v 11329 2248415 48782685 168 
v 11330 2245912 48785093 167 
v 11331 2169150 48805648 110 
v 11332 2177610 48784304 177 
v 11333 2130800 48719856 156 
v 11334 2127187 48719319 152 
v 11335 2234740 48710007 101 
v 11336 2235758 48709941 91 
v 11337 2236381 48710039 88 
v 11338 2236466 48710235 88 
v 11339 2236563 48710460 89 
v 11340 2236751 48710893 96 
v 11341 2236275 48709792 90 
v 11342 2236907 48709942 86 
v 11343 2236992 48710134 86 
v 11344 2236026 48710563 92 
v 11345 2237048 48710370 86 
v 11346 2237280 48710792 90 
v 11347 2127746 48725806 153 
v 11348 2127714 48725922 153 
v 11349 2121908 48729498 151 
v 11350 2127387 48728674 155 
v 11351 2248328 48764382 169 
v 11352 2269392 48792944 163 
v 11353 2279597 48781847 94 
v 11354 2270727 48752917 95 
v 11355 2268572 48794234 162 
v 11356 2222180 48747841 75 
v 11357 2222407 48747655 76 
v 11358 2202938 48753441 86 
v 11359 2202610 48753187 91 
v 11360 2225229 48742261 84 
v 11361 2216886 48748754 87 
v 11362 2216752 48748919 87 
v 11363 2217058 48749238 86 
v 11364 2213963 48749622 90 
v 11365 2207945 48751263 88 
v 11366 2203122 48753893 81 
v 11367 2261228 48800457 116 
v 11368 2204290 48711895 157 
v 11369 2168903 48699837 61 
v 11370 2167742 48699562 61 
v 11371 2167500 48698703 61 
v 11372 2166551 48698667 61 
v 11373 2169228 48699413 60 
v 11374 2169170 48699459 60 
v 11375 2172497 48699697 61 
v 11376 2170836 48699522 61 
v 11377 2165417 48698119 63 
v 11378 2168421 48696585 82 
v 11379 2166429 48698444 62 
v 11380 2166193 48698296 63 
v 11381 2169195 48700024 61 
v 11382 2175909 48804079 96 
v 11383 2176757 48804254 98 
v 11384 2247673 48785768 166 
v 11385 2247437 48785566 166 
v 11386 2247910 48787700 169 
v 11387 2247838 48785516 166 
v 11388 2247611 48787578 169 
v 11389 2247370 48785671 166 
v 11390 2247747 48785654 166 
v 11391 2174934 48804085 96 
v 11392 2174934 48804033 95 
v 11393 2234171 48732010 82 
v 11394 2234402 48732513 80 
v 11395 2234384 48731865 84 
v 11396 2234785 48731647 88 
v 11397 2235054 48731821 87 
v 11398 2234573 48731955 83 
v 11399 2246294 48725625 90 
v 11400 2246265 48725661 90 
v 11401 2245894 48725250 91 
v 11402 2246308 48725638 90 
v 11403 2246457 48725684 90 
v 11404 2262113 48724383 88 
v 11405 2263042 48724784 86 
v 11406 2263353 48723136 88 
v 11407 2261604 48724808 85 
v 11408 2261152 48725133 83 
v 11409 2234570 48708208 132 
v 11410 2202287 48714435 156 
v 11411 2281290 48805190 91 
v 11412 2284558 48807375 87 
v 11413 2237966 48715686 148 
v 11414 2239738 48717105 144 
v 11415 2203140 48710812 157 
v 11416 2259088 48781828 156 
v 11417 2175037 48761279 114 
v 11418 2280776 48720243 82 
v 11419 2170906 48700060 61 
v 11420 2218634 48712623 156 
v 11421 2218582 48712470 156 
v 11422 2158997 48710814 159 
v 11423 2159178 48711910 157 
v 11424 2163908 48711855 156 
v 11425 2159016 48710503 160 
v 11426 2159200 48710398 160 
v 11427 2159014 48710561 159 
v 11428 2171867 48711920 153 
v 11429 2169292 48713261 154 
v 11430 2169280 48713611 153 
v 11431 2284253 48741377 54 
v 11432 2285030 48740682 56 
v 11433 2163176 48713553 155 
v 11434 2169029 48713619 154 
v 11435 2160879 48710951 158 
v 11436 2219172 48712604 156 
v 11437 2204104 48710517 157 
v 11438 2171124 48702290 65 
v 11439 2175568 48702541 78 
v 11440 2173732 48702713 74 
v 11441 2174186 48701731 67 
v 11442 2173505 48701668 64 
v 11443 2174249 48701942 68 
v 11444 2132178 48771561 127 
v 11445 2129057 48775211 105 
v 11446 2221225 48748802 74 
v 11447 2283584 48702541 54 
v 11448 2283642 48702573 54 
v 11449 2140224 48764953 145 
v 11450 2133461 48767166 150 
v 11451 2133458 48767132 150 
v 11452 2134418 48766854 148 
v 11453 2134446 48766885 148 
v 11454 2140362 48764681 146 
v 11455 2140236 48764777 146 
v 11456 2173804 48698588 65 
v 11457 2173757 48699217 61 
v 11458 2174314 48699079 62 
v 11459 2174292 48699196 61 
v 11460 2164660 48698669 60 
v 11461 2157307 48696745 65 
v 11462 2157235 48696357 67 
v 11463 2175773 48696908 75 
v 11464 2175704 48697238 75 
v 11465 2141965 48698381 67 
v 11466 2141793 48698074 70 
v 11467 2141322 48698799 65 
v 11468 2138395 48698724 67 
v 11469 2240110 48779445 172 
v 11470 2165328 48698521 61 
v 11471 2128780 48774269 107 
v 11472 2126191 48773804 120 
v 11473 2126660 48773696 122 
v 11474 2128363 48774525 107 
v 11475 2260288 48722428 93 
v 11476 2261645 48723219 90 
v 11477 2260875 48722834 92 
v 11478 2259251 48723637 86 
v 11479 2252919 48719207 98 
v 11480 2194168 48802529 136 
v 11481 2193748 48801523 142 
v 11482 2263231 48735176 64 
v 11483 2262935 48735558 63 
v 11484 2262559 48734863 67 
v 11485 2263090 48735195 65 
v 11486 2263399 48734690 67 
v 11487 2263046 48735197 65 
v 11488 2263601 48734775 66 
v 11489 2263461 48734704 67 
v 11490 2172472 48733585 150 
v 11491 2173925 48734418 146 
v 11492 2151738 48735557 154 
v 11493 2153678 48737511 150 
v 11494 2283896 48749819 73 
v 11495 2284306 48748798 70 
v 11496 2285405 48748432 68 
v 11497 2284319 48749470 72 
v 11498 2225983 48784529 174 
v 11499 2225488 48785268 174 
v 11500 2284614 48794568 129 
v 11501 2285166 48721151 81 
v 11502 2284635 48721312 80 
v 11503 2171152 48804639 102 
v 11504 2246807 48721058 108 
v 11505 2246478 48721348 109 
v 11506 2246335 48720883 111 
v 11507 2246383 48720717 111 
v 11508 2150864 48806847 129 
v 11509 2172188 48695207 88 
v 11510 2169449 48771876 161 
v 11511 2233659 48720837 142 
v 11512 2268434 48733700 65 
v 11513 2208183 48710147 158 
v 11514 2174952 48796924 130 
v 11515 2253740 48704759 53 
v 11516 2254752 48705993 55 
v 11517 2253093 48704956 55 
v 11518 2216019 48739665 149 
v 11519 2213333 48738270 151 
v 11520 2214808 48740585 164 
v 11521 2243972 48707438 52 
v 11522 2213106 48738664 151 
v 11523 2217576 48739785 145 
v 11524 2211128 48737675 156 
v 11525 2208450 48737096 154 
v 11526 2206730 48736859 153 
v 11527 2206866 48737026 152 
v 11528 2206822 48711180 159 
v 11529 2232364 48789268 168 
v 11530 2232509 48789029 168 
v 11531 2230899 48789907 168 
v 11532 2232068 48788927 170 
v 11533 2231547 48786851 173 
v 11534 2231493 48786944 173 
v 11535 2232733 48785273 174 
v 11536 2232224 48785807 173 
v 11537 2231690 48786618 173 
v 11538 2231876 48786675 173 
v 11539 2232951 48785388 175 
v 11540 2232648 48785863 174 
v 11541 2211844 48789607 176 
v 11542 2211222 48788842 175 
v 11543 2244737 48772239 167 
v 11544 2160312 48807519 121 
v 11545 2160095 48807436 121 
v 11546 2114726 48764422 162 
v 11547 2114842 48764350 162 
v 11548 2115395 48764139 162 
v 11549 2115068 48763836 162 
v 11550 2186074 48799976 100 
v 11551 2244251 48713661 85 
v 11552 2175816 48710627 154 
v 11553 2249658 48791158 167 
v 11554 2141500 48805304 136 
v 11555 2141422 48805725 135 
v 11556 2141154 48803788 157 
v 11557 2171498 48706991 155 
v 11558 2261368 48723565 90 
v 11559 2261256 48723491 90 
v 11560 2262381 48724494 87 
v 11561 2262513 48724345 87 
v 11562 2194880 48732164 136 
v 11563 2126315 48725620 152 
v 11564 2126820 48725616 152 
v 11565 2229352 48715648 155 
v 11566 2229328 48715841 155 
v 11567 2156536 48724169 157 
v 11568 2210329 48753433 76 
v 11569 2119433 48800949 123 
v 11570 2187806 48805557 99 
v 11571 2196927 48766558 170 
v 11572 2196921 48765552 171 
v 11573 2212112 48790871 177 
v 11574 2212077 48790278 176 
v 11575 2125762 48725476 151 
v 11576 2119764 48749991 150 
v 11577 2119984 48750350 150 
v 11578 2120154 48750420 149 
v 11579 2120511 48750368 149 
v 11580 2120650 48750368 148 
v 11581 2189401 48703032 78 
v 11582 2196349 48715068 155 
v 11583 2182236 48705892 151 
v 11584 2122328 48757433 153 
v 11585 2124217 48759874 157 
v 11586 2129745 48767880 147 
v 11587 2256262 48730910 91 
v 11588 2120131 48750394 149 
v 11589 2121226 48749430 150 
v 11590 2255565 48735060 68 
v 11591 2256608 48735093 68 
v 11592 2256560 48735087 68 
v 11593 2259717 48736112 62 
v 11594 2259990 48736572 59 
v 11595 2259771 48737304 59 
v 11596 2259835 48737154 59 
v 11597 2258591 48735653 63 
v 11598 2259250 48735727 63 
v 11599 2173956 48699210 61 
v 11600 2173986 48699488 61 
v 11601 2173975 48699333 60 
v 11602 2174879 48699368 59 
v 11603 2174952 48699257 60 
v 11604 2173971 48699318 60 
v 11605 2172979 48699363 61 
v 11606 2201330 48711496 156 
v 11607 2188586 48758390 96 
v 11608 2120124 48750845 149 
v 11609 2127953 48764983 154 
v 11610 2226618 48741663 80 
v 11611 2124128 48771473 148 
v 11612 2124125 48771345 148 
v 11613 2224759 48706133 88 
v 11614 2221748 48738276 95 
v 11615 2162009 48709951 159 
v 11616 2122873 48774487 117 
v 11617 2122555 48774542 116 
v 11618 2122973 48774468 118 
v 11619 2132576 48763301 155 
v 11620 2121088 48697997 86 
v 11621 2116775 48698386 89 
v 11622 2120050 48696597 99 
v 11623 2172570 48709634 154 
v 11624 2172589 48711750 153 
v 11625 2166169 48734611 151 
v 11626 2166292 48734606 151 
v 11627 2156666 48700519 65 
v 11628 2156786 48700049 62 
v 11629 2156830 48699995 62 
v 11630 2254432 48738334 61 
v 11631 2225355 48703709 67 
v 11632 2227729 48703840 69 
v 11633 2233097 48704123 76 
v 11634 2156923 48702815 84 
v 11635 2173715 48734171 147 
v 11636 2173023 48733851 148 
v 11637 2173053 48733614 149 
v 11638 2172408 48734580 148 
v 11639 2172102 48734351 148 
v 11640 2171590 48733505 150 
v 11641 2137944 48800150 133 
v 11642 2178133 48804558 100 
v 11643 2178119 48804606 101 
v 11644 2192770 48715502 156 
v 11645 2251032 48768697 160 
v 11646 2149689 48787480 141 
v 11647 2149602 48787589 141 
v 11648 2243568 48783369 171 
v 11649 2243396 48783464 170 
v 11650 2241454 48781462 172 
v 11651 2239121 48776090 169 
v 11652 2243092 48783129 170 
v 11653 2240829 48782630 173 
v 11654 2240723 48782468 173 
v 11655 2241666 48784527 170 
v 11656 2241897 48784366 170 
v 11657 2242331 48783916 171 
v 11658 2240021 48783568 172 
v 11659 2240061 48782697 173 
v 11660 2241008 48781784 173 
v 11661 2254558 48774678 173 
v 11662 2255903 48775701 171 
v 11663 2255901 48775616 172 
v 11664 2135426 48802530 146 
v 11665 2252501 48778507 170 
v 11666 2252928 48778803 170 
v 11667 2283640 48725639 78 
v 11668 2254130 48785441 165 
v 11669 2253932 48785533 166 
v 11670 2254453 48785455 164 
v 11671 2254141 48785488 165 
v 11672 2153828 48696184 69 
v 11673 2153871 48696533 66 
v 11674 2136478 48697847 71 
v 11675 2160047 48692169 93 
v 11676 2191376 48702265 66 
v 11677 2190882 48702383 69 
v 11678 2216616 48778279 171 
v 11679 2217381 48778382 170 
v 11680 2216784 48778540 171 
v 11681 2216950 48778794 171 
v 11682 2222123 48786135 174 
v 11683 2221643 48786273 173 
v 11684 2221574 48786299 173 
v 11685 2174576 48692396 123 
v 11686 2178974 48761391 98 
v 11687 2178450 48761558 96 
v 11688 2178561 48761768 95 
v 11689 2178995 48761666 95 
v 11690 2245894 48771447 167 
v 11691 2190653 48694775 97 
v 11692 2189084 48694660 99 
v 11693 2272071 48789038 154 
v 11694 2270962 48789019 156 
v 11695 2125719 48797356 127 
v 11696 2126088 48797610 128 
v 11697 2125573 48797398 127 
v 11698 2127094 48797387 128 
v 11699 2127302 48797327 129 
v 11700 2203023 48718228 153 
v 11701 2221899 48788746 173 
v 11702 2189422 48698391 72 
v 11703 2191825 48698618 70 
v 11704 2191890 48696956 87 
v 11705 2189849 48700345 58 
v 11706 2189626 48700351 58 
v 11707 2170340 48804108 101 
v 11708 2127785 48725760 153 
v 11709 2240688 48741111 90 
v 11710 2283756 48731903 90 
v 11711 2273818 48736586 63 
v 11712 2262905 48733663 72 
v 11713 2192216 48703038 69 
v 11714 2191563 48703046 71 
v 11715 2259042 48701487 58 
v 11716 2254587 48746712 129 
v 11717 2279694 48762392 94 
v 11718 2276739 48762784 99 
v 11719 2276800 48763206 99 
v 11720 2244878 48773357 168 
v 11721 2245206 48773227 169 
v 11722 2241988 48772553 171 
v 11723 2241458 48772483 171 
v 11724 2241073 48772425 170 
v 11725 2241432 48772656 170 
v 11726 2281144 48766301 93 
v 11727 2246196 48778714 172 
v 11728 2246100 48778355 172 
v 11729 2245966 48777852 171 
v 11730 2245881 48777537 171 
v 11731 2244922 48774179 169 
v 11732 2243692 48774317 168 
v 11733 2245867 48775439 171 
v 11734 2245561 48775028 170 
v 11735 2245236 48775281 170 
v 11736 2276878 48805083 95 
v 11737 2212654 48728751 138 
v 11738 2192650 48781583 179 
v 11739 2155311 48805364 122 
v 11740 2155832 48805074 121 
v 11741 2154405 48804262 120 
v 11742 2154656 48804518 121 
v 11743 2154314 48804302 120 
v 11744 2154288 48804206 120 
v 11745 2153363 48803796 124 
v 11746 2153785 48803773 122 
v 11747 2122965 48799092 123 
v 11748 2126964 48800758 129 
v 11749 2125404 48801708 130 
v 11750 2123770 48803264 131 
v 11751 2123912 48803294 131 
v 11752 2124278 48803357 130 
v 11753 2126818 48804333 130 
v 11754 2123370 48806051 135 
v 11755 2123306 48806130 135 
v 11756 2123848 48807100 128 
v 11757 2122843 48805168 133 
v 11758 2123065 48805684 135 
v 11759 2144102 48798510 127 
v 11760 2143875 48798339 126 
v 11761 2140564 48799313 130 
v 11762 2137780 48799904 132 
v 11763 2134787 48801352 134 
v 11764 2129737 48802020 130 
v 11765 2172541 48757079 148 
v 11766 2276213 48795777 164 
v 11767 2177748 48782645 176 
v 11768 2177932 48782878 177 
v 11769 2209241 48780625 171 
v 11770 2214020 48783184 167 
v 11771 2214177 48782960 167 
v 11772 2183049 48787612 178 
v 11773 2183073 48787669 180 
v 11774 2180071 48785386 176 
v 11775 2168732 48787757 178 
v 11776 2185539 48784402 179 
v 11777 2182900 48784974 178 
v 11778 2179899 48788239 173 
v 11779 2180187 48788066 176 
v 11780 2169027 48782267 176 
v 11781 2169251 48782232 177 
v 11782 2168320 48782919 178 
v 11783 2187066 48794298 119 
v 11784 2178876 48776813 174 
v 11785 2184222 48804698 92 
v 11786 2184888 48805003 91 
v 11787 2254011 48786600 167 
v 11788 2253830 48786337 166 
v 11789 2260458 48789207 166 
v 11790 2174608 48783258 177 
v 11791 2229453 48732385 83 
v 11792 2229804 48732262 81 
v 11793 2212258 48750764 85 
v 11794 2213617 48751625 79 
v 11795 2214922 48754633 92 
v 11796 2214376 48754514 91 
v 11797 2215377 48752874 76 
v 11798 2215619 48754294 90 
v 11799 2215240 48754752 93 
v 11800 2214927 48752407 75 
v 11801 2214881 48752487 75 
v 11802 2215088 48752689 75 
v 11803 2212977 48751224 81 
v 11804 2213908 48751752 77 
v 11805 2284300 48791191 115 
v 11806 2284281 48791175 115 
v 11807 2284383 48791135 114 
v 11808 2277684 48792902 161 
v 11809 2135633 48797295 137 
v 11810 2274651 48740508 59 
v 11811 2275413 48743795 65 
v 11812 2276090 48742956 60 
v 11813 2276031 48744253 66 
v 11814 2278030 48748152 82 
v 11815 2275324 48746966 81 
v 11816 2270563 48743110 76 
v 11817 2168135 48709171 156 
v 11818 2135636 48802650 147 
v 11819 2197205 48696583 87 
v 11820 2196656 48696569 88 
v 11821 2143997 48729755 157 
v 11822 2108646 48746177 159 
v 11823 2191700 48780531 177 
v 11824 2191713 48780591 177 
v 11825 2181625 48781830 177 
v 11826 2181817 48781897 177 
v 11827 2181013 48782059 178 
v 11828 2195536 48777800 177 
v 11829 2175027 48782441 176 
v 11830 2181617 48799826 110 
v 11831 2182963 48799332 107 
v 11832 2182931 48799259 107 
v 11833 2184348 48799149 104 
v 11834 2166514 48784781 182 
v 11835 2222145 48733092 90 
v 11836 2222174 48733329 89 
v 11837 2222116 48733317 89 
v 11838 2222275 48733087 90 
v 11839 2119441 48767760 159 
v 11840 2118442 48767586 158 
v 11841 2117608 48766294 161 
v 11842 2117482 48766188 161 
v 11843 2117774 48766053 161 
v 11844 2116232 48765700 162 
v 11845 2116128 48765618 162 
v 11846 2116297 48765880 162 
v 11847 2114739 48764378 162 
v 11848 2205403 48777444 176 
v 11849 2204494 48776981 176 
v 11850 2203491 48777629 178 
v 11851 2201600 48777821 177 
v 11852 2205237 48777443 176 
v 11853 2210194 48778685 175 
v 11854 2209617 48778853 174 
v 11855 2209468 48778736 174 
v 11856 2211465 48778597 175 
v 11857 2211571 48778713 175 
v 11858 2210341 48779069 175 
v 11859 2210282 48778806 175 
v 11860 2210334 48778676 175 
v 11861 2277078 48767010 103 
v 11862 2277078 48767675 104 
v 11863 2263681 48724073 88 
v 11864 2262375 48724123 88 
v 11865 2178056 48784129 178 
v 11866 2121032 48762272 158 
v 11867 2121780 48761668 157 
v 11868 2121533 48764884 156 
v 11869 2121442 48764744 156 
v 11870 2122259 48764933 156 
v 11871 2122226 48764492 156 
v 11872 2120268 48765505 158 
v 11873 2120056 48765190 157 
v 11874 2119904 48765238 157 
v 11875 2120091 48764890 157 
v 11876 2120126 48765007 157 
v 11877 2120221 48765138 157 
v 11878 2120803 48764950 157 
v 11879 2119960 48763811 157 
v 11880 2117055 48763980 160 
v 11881 2116597 48763607 161 
v 11882 2124048 48761048 157 
v 11883 2124089 48761102 157 
v 11884 2123048 48761205 156 
v 11885 2123140 48761330 156 
v 11886 2122289 48760998 156 
v 11887 2122650 48761488 157 
v 11888 2121847 48761750 157 
v 11889 2122127 48762319 157 
v 11890 2122335 48762255 157 
v 11891 2120803 48762343 159 
v 11892 2120514 48762479 159 
v 11893 2119642 48763472 157 
v 11894 2119843 48762686 158 
v 11895 2119717 48762491 159 
v 11896 2117606 48762908 160 
v 11897 2117725 48763140 160 
v 11898 2117675 48763077 160 
v 11899 2118008 48763044 160 
v 11900 2117962 48762985 160 
v 11901 2116073 48765321 162 
v 11902 2116321 48765525 162 
v 11903 2115396 48764984 163 
v 11904 2115342 48764255 162 
v 11905 2116022 48764081 161 
v 11906 2115611 48764115 162 
v 11907 2117146 48763286 161 
v 11908 2115652 48763559 162 
v 11909 2116213 48763539 161 
v 11910 2116356 48763658 161 
v 11911 2115511 48763634 162 
v 11912 2279477 48759192 102 
v 11913 2278146 48744919 66 
v 11914 2215436 48710476 157 
v 11915 2220049 48710379 155 
v 11916 2160267 48692243 94 
v 11917 2138633 48805238 140 
v 11918 2141438 48805497 135 
v 11919 2128192 48803271 130 
v 11920 2128986 48803190 131 
v 11921 2130448 48804891 129 
v 11922 2129946 48802642 130 
v 11923 2130568 48804633 130 
v 11924 2130304 48803937 129 
v 11925 2127919 48804450 130 
v 11926 2129775 48802471 130 
v 11927 2130737 48803949 131 
v 11928 2130757 48804644 129 
v 11929 2138581 48805525 138 
v 11930 2138337 48805507 138 
v 11931 2138389 48805218 140 
v 11932 2177298 48782590 176 
v 11933 2177400 48782259 176 
v 11934 2177379 48782170 176 
v 11935 2181116 48781448 178 
v 11936 2175869 48782135 176 
v 11937 2175907 48782275 176 
v 11938 2177778 48782208 176 
v 11939 2203975 48779138 175 
v 11940 2203981 48779198 175 
v 11941 2204436 48779099 174 
v 11942 2203246 48779190 178 
v 11943 2202905 48779276 178 
v 11944 2201965 48779281 179 
v 11945 2194316 48779725 179 
v 11946 2193604 48779886 179 
v 11947 2193583 48779781 179 
v 11948 2193210 48779907 179 
v 11949 2190167 48780131 177 
v 11950 2191189 48780159 177 
v 11951 2173642 48779666 175 
v 11952 2171706 48779614 174 
v 11953 2171946 48779647 174 
v 11954 2171921 48779484 174 
v 11955 2213284 48766778 172 
v 11956 2207164 48778890 174 
v 11957 2152304 48710227 161 
v 11958 2152184 48709110 161 
v 11959 2188166 48700324 58 
v 11960 2196341 48782441 177 
v 11961 2196613 48782426 176 
v 11962 2196829 48782420 176 
v 11963 2200119 48782530 177 
v 11964 2201782 48782829 175 
v 11965 2204667 48783599 173 
v 11966 2205930 48783705 171 
v 11967 2196340 48782429 177 
v 11968 2180808 48699904 58 
v 11969 2168667 48709620 157 
v 11970 2171679 48709704 155 
v 11971 2168671 48709739 157 
v 11972 2190894 48700418 58 
v 11973 2181530 48756956 145 
v 11974 2181382 48756739 146 
v 11975 2183436 48756396 130 
v 11976 2183559 48756000 120 
v 11977 2174170 48732156 152 
v 11978 2169683 48732880 151 
v 11979 2171371 48731740 152 
v 11980 2174957 48731566 153 
v 11981 2174698 48731315 153 
v 11982 2174470 48730959 153 
v 11983 2174488 48730823 152 
v 11984 2170819 48731998 153 
v 11985 2174188 48732757 151 
v 11986 2178210 48730146 153 
v 11987 2177479 48729675 154 
v 11988 2174145 48731341 153 
v 11989 2173160 48733073 152 
v 11990 2175364 48733235 150 
v 11991 2169089 48730098 154 
v 11992 2170307 48755299 149 
v 11993 2171245 48732645 151 
v 11994 2173939 48731237 153 
v 11995 2175449 48728788 153 
v 11996 2177821 48753750 151 
v 11997 2177692 48753746 151 
v 11998 2177690 48753830 151 
v 11999 2177811 48753833 151 
v 12000 2136937 48760007 157 
v 12001 2138064 48758311 155 
v 12002 2155115 48755057 152 
v 12003 2268046 48723148 85 
v 12004 2211871 48789547 176 
v 12005 2212235 48789605 175 
v 12006 2212055 48789982 176 
v 12007 2211099 48790142 177 
v 12008 2211543 48789690 176 
v 12009 2212902 48790525 179 
v 12010 2212594 48790636 177 
v 12011 2212103 48790037 176 
v 12012 2212512 48790722 178 
v 12013 2211789 48790144 176 
v 12014 2212360 48790710 177 
v 12015 2212826 48790587 179 
v 12016 2212476 48790683 177 
v 12017 2210093 48788633 176 
v 12018 2211745 48790096 176 
v 12019 2211431 48790199 177 
v 12020 2210796 48789800 176 
v 12021 2211777 48789734 175 
v 12022 2212126 48790257 176 
v 12023 2211723 48789836 175 
v 12024 2174055 48714042 152 
v 12025 2173909 48713991 151 
v 12026 2173866 48714142 151 
v 12027 2173972 48714153 151 
v 12028 2174062 48714084 151 
v 12029 2173812 48714085 151 
v 12030 2198480 48696399 88 
v 12031 2199346 48696565 85 
v 12032 2199881 48696775 83 
v 12033 2206206 48698596 84 
v 12034 2195554 48694392 110 
v 12035 2255395 48733889 76 
v 12036 2181630 48782375 177 
v 12037 2181131 48782439 178 
v 12038 2180866 48782464 178 
v 12039 2170072 48699321 61 
v 12040 2170066 48699219 61 
v 12041 2169554 48699391 61 
v 12042 2169523 48699237 61 
